#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.336	0.538	1.324	0.628	0.745	1.000	0.542
1	1.000	1.002	1.210	0.627	0.504	0.000	0.602
2	1.000	0.955	1.006	0.345	0.665	0.000	0.982
3	0.288	1.268	1.482	0.159	0.938	1.000	0.000
4	1.000	0.571	1.439	0.276	0.596	0.000	0.812
5	0.211	1.041	1.284	0.742	0.741	1.000	0.768
6	0.393	0.510	1.255	0.674	0.994	1.000	0.766
7	0.393	0.962	1.404	0.667	0.767	1.000	0.000
8	1.000	0.866	1.204	0.628	0.715	0.000	0.814
9	0.246	0.983	1.369	0.646	0.721	1.000	0.725
#From	To	chi[to]	beta[fr]	lambda
0	0	0.176	0.462	1.000
0	5	0.209	0.538	1.000
1	0	0.625	0.644	1.000
1	5	0.321	0.356	1.000
2	9	0.672	1.000	1.000
3	3	0.178	1.000	1.000
4	5	0.347	1.000	1.000
5	3	0.822	1.000	1.000
6	9	0.328	1.000	1.000
8	6	1.000	0.117	1.000
8	7	1.000	0.883	1.000
9	0	0.199	0.222	1.000
9	5	0.124	0.778	1.000
