#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.665	1.350	0.885	0.973	0.000	0.834
1	0.038	1.078	1.321	0.576	0.909	1.000	0.000
2	0.122	0.747	1.102	0.701	0.689	1.000	0.617
3	0.154	0.851	1.198	0.712	0.723	1.000	0.867
4	0.073	0.911	1.382	0.621	0.997	1.000	0.791
5	0.024	1.282	1.020	0.424	0.589	1.000	0.881
6	0.062	0.567	1.317	0.423	0.794	1.000	0.906
7	0.086	0.960	1.082	0.144	0.597	1.000	0.533
8	0.017	1.440	1.211	0.328	0.710	1.000	0.000
9	0.032	0.999	1.037	0.794	0.543	1.000	0.000
10	0.024	0.685	1.016	0.093	0.953	1.000	0.720
11	0.219	1.071	1.328	0.680	0.673	1.000	0.550
12	0.101	0.762	1.436	0.374	0.801	1.000	0.548
13	0.028	0.852	1.085	0.444	0.684	1.000	0.808
14	0.393	0.621	1.430	0.799	0.554	1.000	0.674
15	0.154	0.702	1.044	0.515	0.871	1.000	0.763
16	0.063	1.204	1.192	0.235	0.622	1.000	0.637
17	0.043	1.071	1.424	0.385	0.615	1.000	0.746
18	1.000	1.160	1.278	0.807	0.879	0.000	0.909
19	0.154	0.849	1.045	0.035	0.646	1.000	0.508
#From	To	chi[to]	beta[fr]	lambda
0	2	0.261	0.014	1.000
0	3	0.472	0.105	1.000
0	12	0.203	0.419	1.000
0	15	0.464	0.461	1.000
2	1	0.109	0.126	1.000
2	4	0.091	0.211	1.000
2	6	0.459	0.154	1.000
2	11	0.310	0.169	1.000
2	12	0.241	0.167	1.000
2	16	0.391	0.130	1.000
2	17	0.018	0.043	1.000
3	1	0.090	0.099	1.000
3	4	0.025	0.055	1.000
3	6	0.113	0.353	1.000
3	16	0.196	0.432	1.000
3	17	0.238	0.061	1.000
4	1	0.029	0.584	1.000
4	4	0.317	0.028	1.000
4	13	0.152	0.387	1.000
5	9	0.232	1.000	1.000
6	1	0.004	0.058	1.000
6	4	0.044	0.615	1.000
6	17	0.314	0.327	1.000
7	1	0.150	0.355	1.000
7	5	0.586	0.340	1.000
7	10	0.207	0.275	1.000
7	13	0.346	0.030	1.000
9	9	0.236	1.000	1.000
10	9	0.299	1.000	1.000
11	1	0.185	0.037	1.000
11	4	0.259	0.179	1.000
11	6	0.029	0.161	1.000
11	7	1.000	0.192	1.000
11	11	0.690	0.045	1.000
11	16	0.413	0.199	1.000
11	17	0.182	0.186	1.000
12	1	0.025	0.184	1.000
12	13	0.332	0.816	1.000
13	9	0.233	1.000	1.000
14	2	0.317	0.326	1.000
14	12	0.229	0.255	1.000
14	15	0.381	0.051	1.000
14	19	1.000	0.369	1.000
15	1	0.199	0.270	1.000
15	2	0.131	0.201	1.000
15	6	0.399	0.324	1.000
15	12	0.245	0.205	1.000
16	1	0.192	0.329	1.000
16	4	0.264	0.262	1.000
16	17	0.248	0.409	1.000
17	1	0.017	0.320	1.000
17	5	0.414	0.292	1.000
17	8	1.000	0.317	1.000
17	10	0.793	0.064	1.000
17	13	0.170	0.008	1.000
18	14	1.000	1.000	1.000
19	2	0.292	0.253	1.000
19	3	0.528	0.535	1.000
19	12	0.081	0.070	1.000
19	15	0.155	0.143	1.000
