#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.154	0.634	1.311	0.759	0.652	1.000	0.931
1	0.246	0.822	1.090	0.628	0.881	1.000	0.810
2	0.097	0.949	1.071	0.519	0.903	1.000	0.000
3	1.000	1.113	1.375	0.563	0.930	0.000	0.860
4	0.122	0.756	1.405	0.774	0.962	1.000	0.000
5	0.097	0.882	1.018	0.566	0.838	1.000	0.000
6	0.246	0.671	1.420	0.512	0.619	1.000	0.880
7	0.393	1.219	1.474	0.400	0.836	1.000	0.513
8	0.097	0.900	1.046	0.930	0.562	1.000	0.000
9	1.000	0.615	1.298	0.030	0.872	0.000	0.833
#From	To	chi[to]	beta[fr]	lambda
0	4	0.227	1.000	1.000
1	4	0.077	0.255	1.000
1	5	1.000	0.745	1.000
3	1	0.864	0.369	1.000
3	6	0.390	0.338	1.000
3	7	1.000	0.293	1.000
6	2	1.000	0.192	1.000
6	4	0.248	0.280	1.000
6	8	1.000	0.528	1.000
7	0	1.000	0.413	1.000
7	1	0.136	0.403	1.000
7	6	0.610	0.184	1.000
9	4	0.448	1.000	1.000
