#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.288	0.901	1.408	0.741	0.650	1.000	0.598
1	0.288	1.288	1.128	0.269	0.748	1.000	0.621
2	0.236	1.212	1.268	0.423	0.834	1.000	0.974
3	0.086	0.961	1.217	0.235	0.551	1.000	0.656
4	1.000	1.024	1.299	0.040	0.758	0.000	0.776
5	0.246	0.644	1.334	0.384	0.953	1.000	0.951
6	0.288	1.201	1.085	0.597	0.938	1.000	0.868
7	1.000	0.835	1.003	0.991	0.894	0.000	0.797
8	0.211	1.039	1.071	0.636	0.683	1.000	0.621
9	0.179	0.725	1.237	0.254	0.987	1.000	0.989
10	0.143	1.375	1.017	0.496	0.606	1.000	0.679
11	1.000	0.784	1.209	0.368	0.815	0.000	0.981
12	0.204	0.638	1.268	0.678	0.581	1.000	0.840
13	0.393	0.674	1.320	0.203	0.589	1.000	0.678
14	1.000	0.709	1.287	0.465	0.509	0.000	0.547
15	0.288	0.612	1.156	0.595	0.718	1.000	0.889
16	0.393	0.595	1.429	0.443	0.973	1.000	0.917
17	1.000	0.886	1.291	0.052	0.746	0.000	0.524
18	1.000	1.141	1.429	0.609	0.808	0.000	0.680
19	1.000	0.544	1.455	0.022	0.743	0.000	0.601
#From	To	chi[to]	beta[fr]	lambda
0	2	0.028	0.123	1.000
0	8	0.202	0.311	1.000
0	10	0.061	0.441	1.000
0	12	0.158	0.125	1.000
1	8	0.227	0.510	1.000
1	10	0.034	0.490	1.000
2	2	0.231	0.142	1.000
2	3	0.100	0.272	1.000
2	10	0.015	0.059	1.000
2	12	0.290	0.528	1.000
3	9	0.080	0.290	1.000
3	10	0.044	0.710	1.000
4	2	0.102	0.183	1.000
4	8	0.220	0.349	1.000
4	10	0.013	0.298	1.000
4	12	0.258	0.170	1.000
5	10	0.126	1.000	1.000
6	2	0.338	0.378	1.000
6	8	0.102	0.232	1.000
6	10	0.127	0.263	1.000
6	12	0.107	0.127	1.000
7	13	0.618	0.453	1.000
7	16	0.410	0.547	1.000
8	8	0.068	0.676	1.000
8	10	0.034	0.324	1.000
9	9	0.293	0.112	1.000
9	10	0.072	0.888	1.000
10	9	0.046	0.250	1.000
10	10	0.134	0.750	1.000
11	13	0.382	0.838	1.000
11	16	0.590	0.162	1.000
12	2	0.134	0.374	1.000
12	3	0.900	0.085	1.000
12	10	0.020	0.281	1.000
12	12	0.049	0.261	1.000
13	8	0.182	0.416	1.000
13	10	0.083	0.241	1.000
13	12	0.139	0.343	1.000
14	0	0.282	0.226	1.000
14	1	0.201	0.137	1.000
14	2	0.012	0.202	1.000
14	6	0.262	0.318	1.000
14	15	0.130	0.117	1.000
15	9	0.155	0.913	1.000
15	10	0.132	0.087	1.000
16	0	0.271	0.132	1.000
16	1	0.070	0.114	1.000
16	2	0.140	0.143	1.000
16	5	0.527	0.270	1.000
16	6	0.360	0.082	1.000
16	15	0.303	0.260	1.000
17	9	0.101	0.222	1.000
17	10	0.067	0.778	1.000
18	0	0.447	0.034	1.000
18	1	0.729	0.050	1.000
18	2	0.015	0.038	1.000
18	5	0.473	0.198	1.000
18	6	0.378	0.407	1.000
18	15	0.567	0.272	1.000
19	9	0.325	0.291	1.000
19	10	0.038	0.709	1.000
