#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.090	1.195	0.460	0.610	0.000	0.690
1	0.167	1.237	1.092	0.232	0.721	1.000	0.000
2	0.627	0.635	1.365	0.438	0.765	1.000	0.647
3	0.246	1.499	1.370	0.090	0.513	1.000	0.505
4	0.336	0.754	1.285	0.302	0.874	1.000	0.938
5	0.311	0.886	1.227	0.764	0.527	1.000	0.583
6	0.097	1.043	1.174	0.390	0.745	1.000	0.685
7	0.171	0.930	1.341	0.861	0.783	1.000	0.951
8	1.000	0.835	1.041	0.519	0.930	0.000	0.831
9	1.000	1.113	1.034	0.189	0.647	0.000	0.770
#From	To	chi[to]	beta[fr]	lambda
0	2	0.435	0.297	1.000
0	5	0.077	0.703	1.000
1	1	0.032	1.000	1.000
2	2	0.565	0.212	1.000
2	3	1.000	0.678	1.000
2	5	0.923	0.110	1.000
3	1	0.323	0.322	1.000
3	4	0.335	0.045	1.000
3	6	1.000	0.013	1.000
3	7	0.523	0.620	1.000
4	1	0.126	0.313	1.000
4	4	0.155	0.591	1.000
4	7	0.099	0.096	1.000
5	1	0.251	1.000	1.000
6	1	0.020	1.000	1.000
7	1	0.052	1.000	1.000
8	1	0.112	0.386	1.000
8	4	0.510	0.422	1.000
8	7	0.378	0.192	1.000
9	1	0.084	1.000	1.000
