#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.097	0.739	1.241	0.763	0.504	1.000	0.000
1	0.224	1.160	1.004	0.057	0.901	1.000	0.000
2	0.246	0.894	1.248	0.963	0.614	1.000	0.750
3	1.000	0.990	1.121	0.834	0.764	0.000	0.916
4	0.393	1.178	1.006	0.158	0.639	1.000	0.762
5	0.393	0.856	1.325	0.687	0.716	1.000	0.763
6	1.000	0.844	1.015	0.620	0.618	0.000	0.540
7	1.000	1.296	1.041	0.317	0.964	0.000	0.589
8	0.393	1.301	1.191	0.534	0.810	1.000	0.000
9	0.393	0.830	1.062	0.575	0.861	1.000	0.939
#From	To	chi[to]	beta[fr]	lambda
2	0	1.000	1.000	1.000
3	4	1.000	0.418	1.000
3	8	1.000	0.409	1.000
3	9	1.000	0.172	1.000
4	1	0.200	0.767	1.000
4	5	0.706	0.233	1.000
5	1	0.154	0.618	1.000
5	5	0.294	0.382	1.000
6	1	0.304	0.475	1.000
6	2	0.442	0.525	1.000
7	1	0.204	1.000	1.000
9	1	0.138	0.869	1.000
9	2	0.558	0.131	1.000
