#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.538	1.049	0.650	0.572	0.000	0.779
1	0.167	1.172	1.369	0.036	0.830	1.000	0.000
2	0.627	0.799	1.446	0.081	0.937	1.000	0.550
3	0.246	1.299	1.009	0.333	0.625	1.000	0.577
4	0.336	0.728	1.157	0.728	0.515	1.000	0.808
5	0.311	1.042	1.383	0.752	0.975	1.000	0.584
6	0.097	0.632	1.225	0.335	0.994	1.000	0.783
7	0.171	1.057	1.231	0.937	0.782	1.000	0.834
8	1.000	0.651	1.186	0.057	0.668	0.000	1.000
9	1.000	0.901	1.118	0.851	0.607	0.000	0.701
#From	To	chi[to]	beta[fr]	lambda
0	2	0.213	0.969	1.000
0	5	0.563	0.031	1.000
1	1	0.142	1.000	1.000
2	2	0.787	0.383	1.000
2	3	1.000	0.595	1.000
2	5	0.437	0.022	1.000
3	1	0.095	0.310	1.000
3	4	0.299	0.353	1.000
3	6	1.000	0.176	1.000
3	7	0.231	0.161	1.000
4	1	0.183	0.273	1.000
4	4	0.281	0.300	1.000
4	7	0.536	0.427	1.000
5	1	0.145	1.000	1.000
6	1	0.090	1.000	1.000
7	1	0.187	1.000	1.000
8	1	0.135	0.548	1.000
8	4	0.420	0.243	1.000
8	7	0.233	0.209	1.000
9	1	0.023	1.000	1.000
