#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.054	0.732	1.488	0.313	0.678	1.000	0.834
1	0.101	1.189	1.464	0.074	0.511	1.000	0.000
2	1.000	1.312	1.396	0.655	0.784	0.000	0.528
3	0.393	0.721	1.095	0.495	0.878	1.000	0.928
4	0.137	1.221	1.317	0.505	0.591	1.000	0.619
5	0.122	0.938	1.402	0.201	0.712	1.000	0.723
6	0.032	1.293	1.179	0.731	0.962	1.000	0.000
7	0.627	0.834	1.466	0.108	0.705	1.000	0.868
8	0.311	0.948	1.441	0.306	0.931	1.000	0.844
9	0.122	0.661	1.397	0.241	0.760	1.000	0.875
#From	To	chi[to]	beta[fr]	lambda
0	1	0.148	0.526	1.000
0	6	0.363	0.474	1.000
1	1	0.299	1.000	1.000
2	3	1.000	0.399	1.000
2	7	0.268	0.100	1.000
2	8	0.407	0.501	1.000
3	4	0.560	1.000	1.000
4	0	1.000	1.000	1.000
5	1	0.553	1.000	1.000
7	7	0.732	0.684	1.000
7	8	0.593	0.316	1.000
8	4	0.440	0.403	1.000
8	5	1.000	0.280	1.000
8	9	1.000	0.317	1.000
9	6	0.637	1.000	1.000
