#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.314	0.583	1.112	0.241	0.988	1.000	0.579
1	1.000	1.214	1.157	0.240	0.649	0.000	0.822
2	0.187	0.545	1.224	0.214	0.742	1.000	0.000
3	1.000	1.322	1.208	0.463	0.522	0.000	0.704
4	0.326	1.323	1.286	0.621	0.808	1.000	0.641
5	1.000	1.457	1.402	0.084	0.692	0.000	0.877
6	0.288	0.853	1.053	0.345	0.738	1.000	0.882
7	1.000	1.266	1.148	0.118	0.759	0.000	0.626
8	0.393	0.525	1.153	0.108	0.712	1.000	0.783
9	1.000	1.178	1.012	0.528	0.961	0.000	0.591
#From	To	chi[to]	beta[fr]	lambda
0	0	0.068	0.187	1.000
0	2	0.015	0.813	1.000
1	4	0.035	1.000	1.000
3	4	0.298	1.000	1.000
4	0	0.041	0.521	1.000
4	2	0.087	0.479	1.000
5	0	0.322	0.501	1.000
5	2	0.294	0.499	1.000
6	2	0.217	1.000	1.000
7	0	0.491	0.354	1.000
7	2	0.065	0.181	1.000
7	4	0.299	0.114	1.000
7	6	0.385	0.350	1.000
8	0	0.078	0.129	1.000
8	2	0.321	0.188	1.000
8	4	0.335	0.338	1.000
8	6	0.331	0.345	1.000
9	4	0.034	0.214	1.000
9	6	0.285	0.382	1.000
9	8	1.000	0.404	1.000
