#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.181	1.141	0.916	0.968	0.000	0.556
1	0.167	0.606	1.353	0.006	0.743	1.000	0.000
2	0.627	1.209	1.393	0.498	0.969	1.000	0.755
3	0.246	1.440	1.121	0.976	0.756	1.000	0.809
4	0.336	0.846	1.214	0.347	0.998	1.000	0.502
5	0.311	0.925	1.177	0.590	0.912	1.000	0.721
6	0.097	0.888	1.383	0.837	0.809	1.000	0.579
7	0.171	1.044	1.326	0.861	0.632	1.000	0.624
8	1.000	1.134	1.227	0.258	0.609	0.000	0.857
9	1.000	1.364	1.337	0.237	0.745	0.000	0.593
#From	To	chi[to]	beta[fr]	lambda
0	2	0.527	0.200	1.000
0	5	0.705	0.800	1.000
1	1	0.018	1.000	1.000
2	2	0.473	0.374	1.000
2	3	1.000	0.241	1.000
2	5	0.295	0.385	1.000
3	1	0.222	0.274	1.000
3	4	0.117	0.385	1.000
3	6	1.000	0.055	1.000
3	7	0.333	0.286	1.000
4	1	0.164	0.374	1.000
4	4	0.381	0.154	1.000
4	7	0.296	0.472	1.000
5	1	0.137	1.000	1.000
6	1	0.209	1.000	1.000
7	1	0.050	1.000	1.000
8	1	0.164	0.298	1.000
8	4	0.502	0.024	1.000
8	7	0.371	0.678	1.000
9	1	0.036	1.000	1.000
