#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.799	1.286	0.117	0.709	0.000	0.844
1	1.000	1.002	1.345	0.646	0.684	0.000	0.800
2	0.275	0.696	1.286	0.140	0.578	1.000	0.000
3	0.230	1.337	1.171	0.465	0.571	1.000	0.713
4	0.135	1.426	1.313	0.300	0.592	1.000	0.639
5	0.263	1.271	1.036	0.049	0.730	1.000	0.000
6	0.344	0.720	1.448	0.642	0.506	1.000	0.785
7	0.169	1.002	1.315	0.572	0.549	1.000	0.000
8	1.000	0.665	1.261	0.385	0.984	0.000	0.573
9	0.135	1.283	1.072	0.053	0.716	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	5	0.438	0.330	1.000
0	6	0.099	0.119	1.000
0	7	0.815	0.551	1.000
1	2	0.042	1.000	1.000
2	2	0.234	1.000	1.000
3	5	0.523	0.750	1.000
3	6	0.283	0.197	1.000
3	7	0.042	0.053	1.000
4	2	0.724	1.000	1.000
5	5	0.018	1.000	1.000
6	3	0.492	0.349	1.000
6	4	1.000	0.018	1.000
6	5	0.021	0.054	1.000
6	6	0.273	0.183	1.000
6	7	0.142	0.204	1.000
6	9	1.000	0.193	1.000
8	3	0.508	0.160	1.000
8	6	0.346	0.840	1.000
