#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.040	1.343	1.415	0.423	0.525	1.000	0.673
1	1.000	1.436	1.349	0.978	0.833	0.000	0.801
2	0.061	0.720	1.366	0.177	0.889	1.000	0.716
3	0.393	0.802	1.325	0.833	0.933	1.000	0.556
4	0.038	0.983	1.445	0.596	0.750	1.000	0.537
5	0.076	1.143	1.426	0.758	0.736	1.000	0.888
6	0.074	0.830	1.013	0.448	0.838	1.000	0.797
7	0.083	0.983	1.199	0.282	0.507	1.000	0.587
8	0.077	0.755	1.224	0.862	0.916	1.000	0.586
9	0.154	0.511	1.434	0.437	0.533	1.000	0.514
10	0.154	0.976	1.427	0.149	0.716	1.000	0.795
11	0.087	0.519	1.199	0.562	0.740	1.000	0.798
12	0.039	1.063	1.271	0.054	0.665	1.000	0.896
13	0.154	1.475	1.167	0.028	0.983	1.000	0.501
14	0.393	0.540	1.463	0.998	0.518	1.000	0.767
15	0.122	1.363	1.206	0.217	0.624	1.000	0.946
16	0.154	1.060	1.118	0.769	0.627	1.000	0.729
17	0.103	0.893	1.325	0.435	0.780	1.000	0.692
18	0.038	0.618	1.141	0.968	0.904	1.000	0.622
19	0.050	0.922	1.333	0.925	0.829	1.000	0.838
20	0.103	0.863	1.231	0.161	0.538	1.000	0.739
21	1.000	1.019	1.150	0.367	0.664	0.000	0.894
22	0.071	0.573	1.263	0.561	0.934	1.000	0.935
23	0.393	0.528	1.290	0.561	0.812	1.000	0.550
24	0.042	1.032	1.383	0.241	0.927	1.000	0.976
25	1.000	1.343	1.258	0.679	0.645	0.000	0.981
26	1.000	0.717	1.304	0.675	0.899	0.000	0.671
27	0.393	0.810	1.450	0.327	0.772	1.000	0.930
28	0.154	1.094	1.079	0.188	0.660	1.000	0.506
29	0.211	1.282	1.480	0.213	0.562	1.000	0.531
#From	To	chi[to]	beta[fr]	lambda
0	0	0.046	0.244	1.000
0	19	0.079	0.380	1.000
0	24	0.096	0.376	1.000
1	5	0.111	0.226	1.000
1	7	0.157	0.119	1.000
1	8	0.136	0.108	1.000
1	11	0.178	0.076	1.000
1	15	0.395	0.035	1.000
1	19	0.007	0.140	1.000
1	20	0.120	0.044	1.000
1	22	0.063	0.115	1.000
1	27	1.000	0.101	1.000
1	29	0.411	0.035	1.000
2	4	0.925	0.122	1.000
2	5	0.085	0.044	1.000
2	7	0.198	0.056	1.000
2	8	0.162	0.155	1.000
2	11	0.057	0.243	1.000
2	15	0.035	0.020	1.000
2	17	0.178	0.180	1.000
2	20	0.014	0.181	1.000
3	8	0.048	0.148	1.000
3	9	1.000	0.293	1.000
3	10	0.289	0.116	1.000
3	17	0.063	0.392	1.000
3	20	0.207	0.051	1.000
4	0	0.014	0.071	1.000
4	12	0.168	0.114	1.000
4	18	0.145	0.113	1.000
4	19	0.040	0.122	1.000
4	22	0.064	0.204	1.000
4	24	0.007	0.375	1.000
5	0	0.086	0.080	1.000
5	5	0.086	0.082	1.000
5	12	0.052	0.162	1.000
5	18	0.193	0.164	1.000
5	19	0.032	0.257	1.000
5	22	0.084	0.255	1.000
6	0	0.078	0.096	1.000
6	5	0.104	0.031	1.000
6	6	0.308	0.115	1.000
6	11	0.053	0.040	1.000
6	12	0.012	0.175	1.000
6	18	0.129	0.253	1.000
6	19	0.049	0.152	1.000
6	22	0.068	0.137	1.000
7	0	0.035	0.114	1.000
7	5	0.059	0.181	1.000
7	6	0.203	0.113	1.000
7	8	0.193	0.097	1.000
7	11	0.062	0.184	1.000
7	19	0.027	0.168	1.000
7	22	0.084	0.144	1.000
8	0	0.036	0.285	1.000
8	5	0.071	0.075	1.000
8	12	0.044	0.074	1.000
8	18	0.076	0.296	1.000
8	19	0.076	0.093	1.000
8	22	0.062	0.177	1.000
