#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.314	1.408	1.207	0.028	0.555	1.000	0.921
1	1.000	0.962	1.028	0.771	0.585	0.000	0.697
2	0.187	1.226	1.111	0.839	0.986	1.000	0.000
3	1.000	1.002	1.203	0.804	0.874	0.000	0.656
4	0.326	1.011	1.326	0.031	0.942	1.000	0.756
5	1.000	0.710	1.078	0.191	0.736	0.000	0.549
6	0.288	0.998	1.079	0.946	0.513	1.000	0.697
7	1.000	0.621	1.452	0.238	0.781	0.000	0.515
8	0.393	1.489	1.409	0.176	0.528	1.000	0.641
9	1.000	0.588	1.445	0.531	0.946	0.000	0.784
#From	To	chi[to]	beta[fr]	lambda
0	0	0.153	0.313	1.000
0	2	0.345	0.687	1.000
1	4	0.019	1.000	1.000
3	4	0.192	1.000	1.000
4	0	0.124	0.044	1.000
4	2	0.021	0.956	1.000
5	0	0.290	0.849	1.000
5	2	0.107	0.151	1.000
6	2	0.297	1.000	1.000
7	0	0.227	0.223	1.000
7	2	0.021	0.015	1.000
7	4	0.387	0.247	1.000
7	6	0.510	0.516	1.000
8	0	0.207	0.184	1.000
8	2	0.209	0.050	1.000
8	4	0.202	0.714	1.000
8	6	0.414	0.052	1.000
9	4	0.200	0.405	1.000
9	6	0.076	0.359	1.000
9	8	1.000	0.237	1.000
