#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.486	1.204	0.439	0.599	0.000	0.724
1	0.313	1.052	1.413	0.681	0.873	1.000	0.000
2	0.536	0.856	1.016	0.596	0.500	1.000	0.684
3	1.000	1.122	1.468	0.113	0.856	0.000	0.601
4	1.000	0.987	1.076	0.996	0.889	0.000	0.568
5	1.000	1.206	1.117	0.106	0.913	0.000	0.961
6	0.393	0.756	1.347	0.014	0.747	1.000	0.541
7	1.000	1.058	1.352	0.875	0.927	0.000	0.582
8	1.000	0.538	1.427	0.708	0.803	0.000	0.591
9	0.319	0.655	1.056	0.591	0.735	1.000	0.526
#From	To	chi[to]	beta[fr]	lambda
0	6	0.363	1.000	1.000
1	1	0.223	1.000	1.000
2	2	0.383	0.555	1.000
2	9	0.501	0.445	1.000
3	2	0.099	0.335	1.000
3	9	0.388	0.665	1.000
4	6	0.637	1.000	1.000
5	1	0.198	1.000	1.000
6	1	0.174	1.000	1.000
7	1	0.176	1.000	1.000
8	2	0.518	0.503	1.000
8	9	0.111	0.497	1.000
9	1	0.230	1.000	1.000
