#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.211	1.264	1.430	0.481	0.945	1.000	0.000
1	0.186	0.546	1.236	0.625	0.641	1.000	0.000
2	0.393	0.577	1.447	0.265	0.665	1.000	0.581
3	0.393	1.193	1.424	0.727	0.670	1.000	0.628
4	1.000	0.678	1.322	0.108	0.680	0.000	0.713
5	1.000	1.444	1.148	0.128	0.549	0.000	0.559
6	1.000	1.322	1.091	0.930	0.676	0.000	0.626
7	0.393	0.898	1.093	0.231	0.971	1.000	0.649
8	0.393	1.026	1.437	0.217	0.968	1.000	0.000
9	0.393	0.909	1.336	0.880	0.752	1.000	0.509
#From	To	chi[to]	beta[fr]	lambda
2	0	0.178	0.455	1.000
2	1	0.196	0.248	1.000
2	7	0.658	0.297	1.000
3	1	0.095	1.000	1.000
4	0	0.643	0.219	1.000
4	1	0.294	0.332	1.000
4	2	1.000	0.254	1.000
4	8	1.000	0.195	1.000
5	3	1.000	1.000	1.000
6	9	1.000	1.000	1.000
7	0	0.179	0.459	1.000
7	1	0.287	0.341	1.000
7	7	0.342	0.200	1.000
9	1	0.127	1.000	1.000
