#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.071	0.736	1.268	0.076	0.719	1.000	0.528
1	0.154	0.651	1.460	0.972	0.641	1.000	0.562
2	0.127	0.588	1.435	0.280	0.769	1.000	0.000
3	1.000	0.658	1.455	0.457	0.922	0.000	0.992
4	0.393	0.677	1.008	0.970	0.910	1.000	0.509
5	0.061	1.180	1.152	0.093	0.927	1.000	0.900
6	0.393	0.901	1.421	0.421	0.634	1.000	0.694
7	0.246	1.029	1.092	0.423	0.748	1.000	0.596
8	1.000	1.096	1.009	0.941	0.540	0.000	0.895
9	0.154	1.027	1.069	0.287	0.530	1.000	0.750
#From	To	chi[to]	beta[fr]	lambda
0	2	0.244	1.000	1.000
1	0	0.149	0.334	1.000
1	5	1.000	0.362	1.000
1	9	0.124	0.304	1.000
2	2	0.557	1.000	1.000
3	2	0.031	1.000	1.000
4	1	0.455	0.294	1.000
4	6	0.503	0.349	1.000
4	9	0.223	0.357	1.000
5	2	0.168	1.000	1.000
6	1	0.545	0.549	1.000
6	6	0.497	0.065	1.000
6	9	0.281	0.386	1.000
7	0	0.148	0.204	1.000
7	7	0.600	0.796	1.000
8	4	1.000	0.194	1.000
8	9	0.371	0.806	1.000
9	0	0.703	0.495	1.000
9	7	0.400	0.505	1.000
