#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.288	0.631	1.243	0.197	0.532	1.000	0.931
1	0.234	1.042	1.394	0.006	0.700	1.000	0.940
2	0.149	0.799	1.197	0.544	0.854	1.000	0.668
3	0.018	1.191	1.232	0.884	0.933	1.000	0.852
4	0.042	0.608	1.168	0.903	0.625	1.000	0.697
5	0.043	0.811	1.367	0.517	0.597	1.000	0.646
6	0.050	1.440	1.179	0.272	0.799	1.000	0.818
7	0.027	1.438	1.174	0.860	0.819	1.000	0.514
8	0.027	0.772	1.057	0.107	0.656	1.000	0.833
9	0.104	1.139	1.109	0.433	0.830	1.000	0.664
10	0.047	0.832	1.113	0.886	0.524	1.000	0.980
11	0.088	1.318	1.155	0.519	0.978	1.000	0.546
12	0.211	1.352	1.058	0.389	0.896	1.000	0.789
13	0.028	0.509	1.364	0.245	0.634	1.000	0.567
14	0.165	1.410	1.185	0.968	0.764	1.000	0.894
15	0.393	1.086	1.369	0.020	0.927	1.000	0.685
16	0.046	1.314	1.114	0.124	0.941	1.000	0.560
17	1.000	0.968	1.325	0.204	0.998	0.000	0.624
18	0.051	1.373	1.281	0.461	0.989	1.000	0.896
19	0.096	1.080	1.017	0.111	0.594	1.000	0.721
20	0.088	1.120	1.408	0.345	0.656	1.000	0.792
21	0.115	0.791	1.335	0.652	0.884	1.000	0.619
22	0.393	0.774	1.368	0.442	0.622	1.000	0.561
23	0.042	1.338	1.083	0.415	0.830	1.000	0.631
24	1.000	0.836	1.123	0.304	0.548	0.000	0.844
25	0.046	1.225	1.054	0.938	0.801	1.000	0.688
26	0.022	1.161	1.042	0.070	0.902	1.000	0.946
27	1.000	0.687	1.482	0.279	0.561	0.000	0.825
28	1.000	0.951	1.375	0.721	0.699	0.000	0.509
29	0.105	0.722	1.169	0.047	0.729	1.000	0.844
#From	To	chi[to]	beta[fr]	lambda
0	0	0.141	0.066	1.000
0	1	0.160	0.202	1.000
0	9	0.067	0.030	1.000
0	11	0.018	0.070	1.000
0	12	0.156	0.143	1.000
0	14	0.115	0.215	1.000
0	19	0.180	0.159	1.000
0	20	0.209	0.016	1.000
0	21	0.219	0.094	1.000
0	29	0.225	0.006	1.000
1	2	0.246	0.263	1.000
1	11	0.005	0.087	1.000
1	14	0.006	0.053	1.000
1	19	0.097	0.229	1.000
1	20	0.203	0.095	1.000
1	29	0.014	0.273	1.000
2	2	0.393	0.157	1.000
2	5	0.089	0.162	1.000
2	6	0.036	0.006	1.000
2	11	0.086	0.133	1.000
2	16	0.285	0.090	1.000
2	18	0.603	0.077	1.000
2	19	0.069	0.156	1.000
2	20	0.040	0.096	1.000
2	25	0.223	0.123	1.000
3	5	0.026	0.089	1.000
3	7	0.096	0.209	1.000
3	8	0.171	0.178	1.000
3	10	0.071	0.089	1.000
3	13	0.020	0.354	1.000
3	23	0.140	0.014	1.000
3	26	0.076	0.067	1.000
4	13	0.080	0.399	1.000
4	26	0.163	0.601	1.000
5	5	0.074	0.170	1.000
5	7	0.199	0.249	1.000
5	8	0.079	0.147	1.000
5	10	0.173	0.053	1.000
5	13	0.090	0.153	1.000
5	23	0.205	0.116	1.000
5	26	0.071	0.113	1.000
6	5	0.140	0.121	1.000
6	7	0.154	0.146	1.000
6	8	0.036	0.097	1.000
6	10	0.046	0.228	1.000
6	13	0.064	0.166	1.000
6	23	0.164	0.177	1.000
6	26	0.059	0.065	1.000
7	13	0.078	0.606	1.000
7	26	0.112	0.394	1.000
8	13	0.017	0.484	1.000
8	26	0.066	0.516	1.000
9	4	0.609	0.142	1.000
9	5	0.072	0.221	1.000
9	6	0.184	0.170	1.000
9	11	0.136	0.100	1.000
9	13	0.029	0.059	1.000
9	16	0.276	0.127	1.000
9	25	0.174	0.181	1.000
10	3	1.000	0.206	1.000
10	5	0.050	0.027	1.000
10	7	0.266	0.179	1.000
10	8	0.123	0.062	1.000
10	10	0.143	0.094	1.000
10	13	0.044	0.177	1.000
10	23	0.089	0.254	1.000
11	5	0.119	0.214	1.000
11	6	0.188	0.038	1.000
11	7	0.034	0.118	1.000
11	8	0.193	0.209	1.000
11	10	0.085	0.108	1.000
11	11	0.127	0.158	1.000
11	13	0.060	0.061	1.000
11	23	0.155	0.095	1.000
12	2	0.016	0.159	1.000
12	11	0.112	0.213	1.000
12	14	0.247	0.032	1.000
12	19	0.130	0.290	1.000
12	20	0.036	0.288	1.000
12	29	0.134	0.018	1.000
13	13	0.064	0.973	1.000
13	26	0.092	0.027	1.000
14	2	0.345	0.289	1.000
14	9	0.554	0.016	1.000
14	11	0.027	0.010	1.000
14	14	0.179	0.071	1.000
14	19	0.166	0.213	1.000
14	20	0.068	0.099	1.000
14	21	0.401	0.050	1.000
14	29	0.058	0.253	1.000
15	0	0.530	0.108	1.000
15	1	0.281	0.073	1.000
15	9	0.379	0.121	1.000
15	11	0.064	0.173	1.000
15	12	0.103	0.157	1.000
15	14	0.226	0.021	1.000
15	19	0.164	0.089	1.000
15	20	0.172	0.127	1.000
15	21	0.150	0.007	1.000
15	29	0.361	0.125	1.000
16	13	0.059	1.000	1.000
17	5	0.158	0.092	1.000
17	6	0.179	0.266	1.000
17	7	0.023	0.044	1.000
17	8	0.107	0.213	1.000
17	10	0.136	0.117	1.000
17	11	0.064	0.044	1.000
17	13	0.028	0.096	1.000
17	23	0.090	0.128	1.000
18	13	0.065	1.000	1.000
19	5	0.028	0.221	1.000
19	6	0.094	0.111	1.000
19	7	0.047	0.179	1.000
19	8	0.095	0.163	1.000
19	10	0.132	0.083	1.000
19	11	0.069	0.080	1.000
19	13	0.056	0.027	1.000
19	23	0.040	0.136	1.000
20	13	0.063	0.456	1.000
20	26	0.149	0.544	1.000
21	4	0.271	0.048	1.000
21	5	0.062	0.173	1.000
21	6	0.059	0.188	1.000
21	11	0.032	0.196	1.000
21	16	0.089	0.071	1.000
21	18	0.397	0.141	1.000
21	20	0.185	0.051	1.000
21	25	0.286	0.132	1.000
22	0	0.329	0.094	1.000
22	1	0.227	0.210	1.000
22	11	0.142	0.024	1.000
22	12	0.222	0.027	1.000
22	14	0.228	0.159	1.000
22	19	0.195	0.059	1.000
22	20	0.088	0.182	1.000
22	21	0.230	0.037	1.000
22	29	0.207	0.209	1.000
23	5	0.022	0.025	1.000
23	7	0.008	0.082	1.000
23	8	0.120	0.531	1.000
23	13	0.018	0.184	1.000
23	23	0.050	0.064	1.000
23	26	0.125	0.115	1.000
24	1	0.091	0.044	1.000
24	12	0.192	0.153	1.000
24	15	0.418	0.465	1.000
24	22	0.384	0.338	1.000
25	5	0.119	0.172	1.000
25	6	0.127	0.159	1.000
25	7	0.173	0.151	1.000
25	8	0.075	0.115	1.000
25	10	0.214	0.192	1.000
25	11	0.058	0.118	1.000
25	13	0.081	0.031	1.000
25	23	0.068	0.063	1.000
26	13	0.055	0.614	1.000
26	26	0.087	0.386	1.000
27	1	0.179	0.308	1.000
27	12	0.327	0.045	1.000
27	15	0.582	0.079	1.000
27	22	0.278	0.569	1.000
28	1	0.063	0.437	1.000
28	22	0.338	0.563	1.000
29	4	0.121	0.010	1.000
29	5	0.041	0.058	1.000
29	6	0.134	0.128	1.000
29	11	0.058	0.284	1.000
29	13	0.031	0.087	1.000
29	16	0.349	0.237	1.000
29	25	0.316	0.195	1.000
