#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.278	1.333	0.002	0.538	0.000	0.680
1	0.313	1.230	1.376	0.819	0.795	1.000	0.000
2	0.536	1.373	1.415	0.429	0.742	1.000	0.749
3	1.000	1.140	1.399	0.004	0.758	0.000	0.800
4	1.000	0.631	1.042	0.802	0.841	0.000	0.999
5	1.000	1.102	1.262	0.973	0.667	0.000	0.520
6	0.393	0.808	1.341	0.010	0.731	1.000	0.769
7	1.000	0.913	1.383	0.409	0.696	0.000	0.872
8	1.000	1.248	1.259	0.485	0.724	0.000	0.963
9	0.319	1.393	1.234	0.988	0.696	1.000	0.578
#From	To	chi[to]	beta[fr]	lambda
0	6	0.574	1.000	1.000
1	1	0.088	1.000	1.000
2	2	0.149	0.666	1.000
2	9	0.118	0.334	1.000
3	2	0.368	0.662	1.000
3	9	0.473	0.338	1.000
4	6	0.426	1.000	1.000
5	1	0.229	1.000	1.000
6	1	0.015	1.000	1.000
7	1	0.563	1.000	1.000
8	2	0.483	0.544	1.000
8	9	0.409	0.456	1.000
9	1	0.106	1.000	1.000
