#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.080	1.115	0.915	0.557	0.000	0.564
1	0.165	1.126	1.195	0.147	0.620	1.000	0.831
2	0.311	1.217	1.062	0.539	0.978	1.000	0.748
3	1.000	1.252	1.067	0.890	0.633	0.000	0.864
4	0.121	0.533	1.365	0.208	0.550	1.000	0.975
5	1.000	1.448	1.087	0.001	0.624	0.000	0.745
6	0.203	0.777	1.043	0.448	0.921	1.000	0.890
7	0.083	1.193	1.392	0.337	0.946	1.000	0.911
8	0.137	1.402	1.252	0.428	0.665	1.000	0.968
9	0.070	1.209	1.015	0.732	0.907	1.000	0.631
10	0.627	0.710	1.155	0.634	0.902	1.000	0.742
11	1.000	1.040	1.460	0.128	0.995	0.000	0.543
12	0.146	0.864	1.453	0.141	0.854	1.000	0.564
13	0.067	0.789	1.226	0.946	0.721	1.000	0.000
14	0.393	1.081	1.028	0.939	0.546	1.000	0.975
15	1.000	1.306	1.130	0.762	0.594	0.000	0.701
16	0.349	0.554	1.411	0.790	0.510	1.000	0.589
17	0.060	0.522	1.395	0.956	0.644	1.000	0.961
18	0.103	1.089	1.407	0.060	0.907	1.000	0.997
19	0.393	0.867	1.398	0.672	0.903	1.000	0.857
20	1.000	0.628	1.425	0.042	0.573	0.000	0.506
21	0.153	1.459	1.437	0.896	0.890	1.000	0.958
22	0.131	0.589	1.060	0.613	0.953	1.000	0.879
23	0.137	1.037	1.135	0.946	0.670	1.000	0.920
24	0.131	0.547	1.355	0.212	0.829	1.000	0.784
25	0.086	1.209	1.083	0.563	0.794	1.000	0.874
26	0.281	1.215	1.127	0.120	0.965	1.000	0.747
27	0.094	1.255	1.288	0.813	0.857	1.000	0.529
28	0.087	1.404	1.073	0.140	0.587	1.000	0.977
29	0.067	0.668	1.478	0.597	0.631	1.000	0.663
#From	To	chi[to]	beta[fr]	lambda
0	12	0.480	0.252	1.000
0	13	0.032	0.748	1.000
1	4	0.105	0.130	1.000
1	9	0.374	0.004	1.000
1	21	0.157	0.028	1.000
1	22	0.198	0.223	1.000
1	24	0.017	0.124	1.000
1	26	0.248	0.236	1.000
1	27	0.090	0.254	1.000
2	7	0.092	0.325	1.000
2	18	0.200	0.070	1.000
2	23	0.026	0.170	1.000
2	27	0.108	0.227	1.000
2	28	0.193	0.208	1.000
3	13	0.066	0.254	1.000
3	17	0.052	0.100	1.000
3	27	0.078	0.160	1.000
3	28	0.175	0.264	1.000
3	29	0.197	0.221	1.000
4	9	0.326	0.195	1.000
4	21	0.015	0.033	1.000
4	22	0.074	0.197	1.000
4	23	0.361	0.209	1.000
4	24	0.279	0.020	1.000
4	25	0.855	0.120	1.000
4	27	0.005	0.040	1.000
4	28	0.119	0.185	1.000
5	6	0.207	0.125	1.000
5	21	0.179	0.276	1.000
5	23	0.040	0.276	1.000
5	27	0.040	0.089	1.000
5	28	0.120	0.233	1.000
6	13	0.062	0.035	1.000
6	29	0.018	0.965	1.000
7	13	0.035	0.120	1.000
7	17	0.281	0.322	1.000
7	27	0.058	0.156	1.000
7	28	0.014	0.194	1.000
7	29	0.239	0.207	1.000
8	12	0.520	0.310	1.000
8	13	0.050	0.690	1.000
9	13	0.040	0.356	1.000
9	29	0.114	0.644	1.000
10	1	0.411	0.133	1.000
10	2	0.507	0.111	1.000
10	4	0.460	0.009	1.000
10	10	0.399	0.219	1.000
10	16	0.234	0.062	1.000
10	21	0.133	0.101	1.000
10	22	0.357	0.173	1.000
10	24	0.195	0.024	1.000
10	26	0.184	0.007	1.000
10	27	0.012	0.162	1.000
11	16	0.083	1.000	1.000
12	13	0.087	1.000	1.000
13	13	0.071	1.000	1.000
14	6	0.493	0.161	1.000
14	21	0.187	0.095	1.000
14	22	0.137	0.231	1.000
14	23	0.202	0.112	1.000
14	24	0.258	0.036	1.000
14	25	0.145	0.067	1.000
14	27	0.109	0.166	1.000
14	28	0.066	0.132	1.000
15	2	0.493	0.099	1.000
15	10	0.601	0.012	1.000
15	14	1.000	0.216	1.000
15	16	0.373	0.022	1.000
15	19	1.000	0.094	1.000
15	21	0.182	0.072	1.000
15	22	0.185	0.134	1.000
15	24	0.130	0.226	1.000
15	26	0.330	0.125	1.000
16	6	0.300	0.173	1.000
16	7	0.366	0.107	1.000
16	8	1.000	0.286	1.000
16	23	0.372	0.065	1.000
16	27	0.057	0.062	1.000
16	28	0.066	0.308	1.000
17	13	0.020	1.000	1.000
18	13	0.077	0.305	1.000
18	17	0.042	0.329	1.000
18	18	0.251	0.028	1.000
18	27	0.108	0.210	1.000
18	28	0.006	0.127	1.000
19	13	0.026	0.641	1.000
19	29	0.176	0.359	1.000
20	16	0.310	1.000	1.000
21	13	0.062	1.000	1.000
22	13	0.009	0.177	1.000
22	17	0.253	0.216	1.000
22	18	0.174	0.289	1.000
22	27	0.005	0.027	1.000
22	28	0.149	0.291	1.000
23	13	0.064	0.017	1.000
23	17	0.242	0.185	1.000
23	18	0.134	0.243	1.000
23	27	0.098	0.268	1.000
23	28	0.077	0.187	1.000
23	29	0.021	0.100	1.000
24	13	0.052	0.944	1.000
24	29	0.221	0.056	1.000
25	7	0.542	0.202	1.000
25	13	0.089	0.210	1.000
