#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.502	1.298	0.983	0.726	0.000	0.700
1	0.393	1.437	1.140	0.589	0.901	1.000	0.900
2	1.000	0.680	1.299	0.590	0.969	0.000	0.530
3	0.316	1.112	1.209	0.882	0.554	1.000	0.000
4	1.000	0.705	1.392	0.108	0.868	0.000	0.540
5	0.307	1.035	1.090	0.429	0.939	1.000	0.986
6	0.362	1.426	1.038	0.628	0.552	1.000	0.564
7	1.000	1.196	1.116	0.632	0.881	0.000	0.985
8	0.627	0.998	1.225	0.333	0.904	1.000	0.648
9	1.000	1.467	1.049	0.853	0.700	0.000	0.624
#From	To	chi[to]	beta[fr]	lambda
0	3	0.164	0.505	1.000
0	5	0.053	0.111	1.000
0	8	0.266	0.383	1.000
1	5	0.067	1.000	1.000
2	3	0.155	1.000	1.000
3	3	0.068	1.000	1.000
4	1	1.000	1.000	1.000
5	3	0.152	0.095	1.000
5	5	0.251	0.718	1.000
5	6	0.226	0.186	1.000
6	3	0.138	0.162	1.000
6	5	0.221	0.353	1.000
6	6	0.563	0.486	1.000
7	3	0.089	1.000	1.000
8	3	0.132	0.543	1.000
8	5	0.192	0.359	1.000
8	8	0.734	0.098	1.000
9	3	0.103	0.328	1.000
9	5	0.217	0.662	1.000
9	6	0.212	0.010	1.000
