#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.246	0.938	1.004	0.584	0.581	1.000	0.608
1	0.393	1.405	1.181	0.766	0.624	1.000	0.773
2	1.000	1.499	1.120	0.298	0.583	0.000	0.540
3	1.000	1.310	1.212	0.902	0.747	0.000	0.879
4	0.311	1.225	1.493	0.996	0.869	1.000	0.000
5	0.122	0.586	1.276	0.006	0.613	1.000	0.726
6	0.048	0.511	1.281	0.869	0.602	1.000	0.952
7	1.000	1.329	1.388	0.067	0.836	0.000	0.610
8	0.154	0.605	1.010	0.353	0.975	1.000	0.596
9	1.000	0.836	1.081	0.328	0.879	0.000	0.964
#From	To	chi[to]	beta[fr]	lambda
0	5	0.235	1.000	1.000
1	0	0.449	0.761	1.000
1	8	1.000	0.239	1.000
2	1	0.558	1.000	1.000
3	1	0.442	1.000	1.000
4	4	0.212	1.000	1.000
5	5	0.256	0.819	1.000
5	6	1.000	0.181	1.000
6	5	0.508	1.000	1.000
7	0	0.551	0.506	1.000
7	4	0.511	0.494	1.000
8	4	0.225	1.000	1.000
9	4	0.052	1.000	1.000
