#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.097	1.433	1.267	0.154	0.889	1.000	0.000
1	0.224	1.033	1.375	0.396	0.848	1.000	0.000
2	0.246	1.404	1.181	0.832	0.875	1.000	0.752
3	1.000	1.457	1.057	0.682	0.766	0.000	0.860
4	0.393	0.931	1.104	0.411	0.551	1.000	0.523
5	0.393	0.675	1.251	0.723	0.759	1.000	0.584
6	1.000	1.419	1.290	0.243	0.551	0.000	0.974
7	1.000	0.713	1.091	0.632	0.762	0.000	0.552
8	0.393	0.629	1.063	0.128	0.974	1.000	0.000
9	0.393	0.901	1.421	0.070	0.769	1.000	0.565
#From	To	chi[to]	beta[fr]	lambda
2	0	1.000	1.000	1.000
3	4	1.000	0.336	1.000
3	8	1.000	0.390	1.000
3	9	1.000	0.274	1.000
4	1	0.136	0.802	1.000
4	5	0.379	0.198	1.000
5	1	0.045	0.892	1.000
5	5	0.621	0.108	1.000
6	1	0.256	0.561	1.000
6	2	0.516	0.439	1.000
7	1	0.274	1.000	1.000
9	1	0.289	0.592	1.000
9	2	0.484	0.408	1.000
