#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.114	1.368	0.266	0.701	1.000	0.000
1	1.000	1.221	1.020	0.544	0.875	0.000	0.920
2	1.000	1.230	1.050	0.472	0.944	0.000	0.725
3	1.000	0.588	1.314	0.864	0.929	0.000	0.865
4	0.311	0.594	1.217	0.235	0.702	1.000	0.934
5	0.393	1.427	1.315	0.308	0.587	1.000	0.000
6	0.173	1.405	1.106	0.409	0.740	1.000	0.000
7	0.627	0.523	1.186	0.008	0.737	1.000	0.905
8	0.363	1.169	1.080	0.301	0.603	1.000	0.514
9	0.336	1.086	1.278	0.986	0.518	1.000	0.578
#From	To	chi[to]	beta[fr]	lambda
1	6	0.170	1.000	1.000
2	5	1.000	0.797	1.000
2	9	0.014	0.203	1.000
3	0	1.000	0.347	1.000
3	4	0.464	0.016	1.000
3	7	0.827	0.104	1.000
3	9	0.602	0.533	1.000
4	6	0.177	1.000	1.000
7	4	0.536	0.350	1.000
7	7	0.173	0.378	1.000
7	9	0.384	0.272	1.000
8	6	0.233	0.796	1.000
8	8	0.610	0.204	1.000
9	6	0.420	0.549	1.000
9	8	0.390	0.451	1.000
