#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.353	1.232	0.866	0.618	1.000	0.724
1	0.154	1.023	1.235	0.360	0.554	1.000	0.970
2	1.000	0.815	1.121	0.185	0.737	0.000	0.775
3	1.000	0.552	1.405	0.073	0.950	0.000	0.640
4	0.224	0.994	1.269	0.189	0.957	1.000	0.776
5	1.000	0.616	1.381	0.856	0.670	0.000	0.574
6	0.169	0.781	1.028	0.080	0.524	1.000	0.988
7	1.000	0.614	1.162	0.443	0.782	0.000	0.674
8	0.230	0.873	1.276	0.709	0.986	1.000	0.000
9	0.246	0.874	1.233	0.344	0.644	1.000	0.501
#From	To	chi[to]	beta[fr]	lambda
0	1	1.000	0.743	1.000
0	6	0.307	0.193	1.000
0	9	0.470	0.063	1.000
1	6	0.007	1.000	1.000
2	4	0.124	0.093	1.000
2	8	0.146	0.907	1.000
3	0	1.000	0.204	1.000
3	6	0.566	0.095	1.000
3	9	0.530	0.701	1.000
4	4	0.124	0.699	1.000
4	8	0.258	0.301	1.000
5	8	0.106	1.000	1.000
6	4	0.462	0.067	1.000
6	8	0.208	0.933	1.000
7	6	0.064	0.775	1.000
7	8	0.145	0.225	1.000
8	8	0.084	1.000	1.000
9	4	0.290	0.298	1.000
9	6	0.056	0.629	1.000
9	8	0.052	0.073	1.000
