#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.826	1.454	0.626	0.631	0.000	0.535
1	0.393	0.924	1.476	0.983	0.717	1.000	0.952
2	0.195	1.420	1.120	0.061	0.944	1.000	0.548
3	1.000	1.369	1.068	0.985	0.609	0.000	0.684
4	1.000	1.124	1.405	0.927	0.784	0.000	0.622
5	0.077	0.669	1.488	0.085	0.589	1.000	0.766
6	0.393	1.041	1.053	0.462	0.615	1.000	0.935
7	0.184	0.623	1.188	0.371	0.606	1.000	0.000
8	0.393	0.602	1.258	0.245	0.787	1.000	0.868
9	1.000	1.495	1.214	0.492	0.534	0.000	0.558
#From	To	chi[to]	beta[fr]	lambda
0	6	0.076	0.355	1.000
0	8	1.000	0.645	1.000
1	1	0.675	0.468	1.000
1	2	0.367	0.333	1.000
1	7	0.099	0.198	1.000
2	2	0.112	0.194	1.000
2	5	1.000	0.326	1.000
2	7	0.108	0.480	1.000
3	6	0.924	1.000	1.000
4	2	0.006	0.386	1.000
4	7	0.127	0.614	1.000
5	2	0.072	0.069	1.000
5	7	0.156	0.931	1.000
6	1	0.325	0.535	1.000
6	2	0.442	0.376	1.000
6	7	0.183	0.090	1.000
7	7	0.122	1.000	1.000
8	7	0.109	1.000	1.000
9	7	0.096	1.000	1.000
