#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.246	1.228	1.440	0.549	0.648	1.000	0.597
1	0.393	1.261	1.020	0.026	0.798	1.000	0.678
2	1.000	1.310	1.210	0.232	0.565	0.000	0.845
3	1.000	0.546	1.210	0.810	0.862	0.000	0.516
4	0.311	0.744	1.443	0.781	0.717	1.000	0.000
5	0.122	0.510	1.158	0.788	0.793	1.000	0.960
6	0.048	1.083	1.055	0.559	0.914	1.000	0.800
7	1.000	1.376	1.129	0.122	0.683	0.000	0.658
8	0.154	1.154	1.269	0.580	0.817	1.000	0.896
9	1.000	1.161	1.269	0.555	0.507	0.000	0.534
#From	To	chi[to]	beta[fr]	lambda
0	5	0.277	1.000	1.000
1	0	0.504	0.515	1.000
1	8	1.000	0.485	1.000
2	1	0.585	1.000	1.000
3	1	0.415	1.000	1.000
4	4	0.049	1.000	1.000
5	5	0.400	0.055	1.000
5	6	1.000	0.945	1.000
6	5	0.322	1.000	1.000
7	0	0.496	0.778	1.000
7	4	0.173	0.222	1.000
8	4	0.463	1.000	1.000
9	4	0.315	1.000	1.000
