#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.097	0.530	1.244	0.949	0.748	1.000	0.000
1	0.224	1.287	1.335	0.821	0.601	1.000	0.000
2	0.246	0.727	1.477	0.713	0.594	1.000	0.855
3	1.000	1.110	1.184	0.991	0.886	0.000	0.789
4	0.393	0.755	1.326	0.194	0.541	1.000	0.996
5	0.393	1.399	1.355	0.860	0.518	1.000	0.891
6	1.000	1.344	1.081	0.990	0.653	0.000	0.501
7	1.000	0.583	1.429	0.277	0.756	0.000	0.990
8	0.393	1.208	1.173	0.349	0.921	1.000	0.000
9	0.393	0.667	1.408	0.264	0.793	1.000	0.864
#From	To	chi[to]	beta[fr]	lambda
2	0	1.000	1.000	1.000
3	4	1.000	0.391	1.000
3	8	1.000	0.325	1.000
3	9	1.000	0.284	1.000
4	1	0.288	0.345	1.000
4	5	0.530	0.655	1.000
5	1	0.241	0.545	1.000
5	5	0.470	0.455	1.000
6	1	0.149	0.356	1.000
6	2	0.616	0.644	1.000
7	1	0.015	1.000	1.000
9	1	0.307	0.737	1.000
9	2	0.384	0.263	1.000
