#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.584	1.252	0.185	0.747	0.000	0.977
1	0.393	1.481	1.094	0.677	0.871	1.000	0.774
2	0.195	0.970	1.444	0.914	0.668	1.000	0.631
3	1.000	1.094	1.387	0.476	0.737	0.000	0.998
4	1.000	1.183	1.403	0.440	0.690	0.000	0.803
5	0.077	1.269	1.269	0.577	0.591	1.000	0.569
6	0.393	1.313	1.171	0.471	0.539	1.000	0.754
7	0.184	1.190	1.024	0.638	0.671	1.000	0.000
8	0.393	1.345	1.441	0.511	0.932	1.000	0.709
9	1.000	0.838	1.461	0.627	0.884	0.000	0.509
#From	To	chi[to]	beta[fr]	lambda
0	6	0.777	0.351	1.000
0	8	1.000	0.649	1.000
1	1	0.297	0.257	1.000
1	2	0.261	0.176	1.000
1	7	0.036	0.567	1.000
2	2	0.283	0.394	1.000
2	5	1.000	0.292	1.000
2	7	0.091	0.314	1.000
3	6	0.223	1.000	1.000
4	2	0.308	0.479	1.000
4	7	0.256	0.521	1.000
5	2	0.110	0.335	1.000
5	7	0.122	0.665	1.000
6	1	0.703	0.473	1.000
6	2	0.039	0.329	1.000
6	7	0.043	0.198	1.000
7	7	0.194	1.000	1.000
8	7	0.200	1.000	1.000
9	7	0.058	1.000	1.000
