#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.394	1.115	0.049	0.966	0.000	0.731
1	0.393	0.971	1.000	0.715	0.547	1.000	0.676
2	0.195	0.673	1.472	0.770	0.729	1.000	0.941
3	1.000	1.468	1.481	0.159	0.879	0.000	0.824
4	1.000	1.035	1.100	0.824	0.506	0.000	0.734
5	0.077	1.232	1.030	0.030	0.834	1.000	0.991
6	0.393	0.678	1.297	0.715	0.737	1.000	0.520
7	0.184	1.201	1.132	0.430	0.883	1.000	0.000
8	0.393	1.219	1.050	0.400	0.941	1.000	0.506
9	1.000	1.479	1.075	0.893	0.570	0.000	0.540
#From	To	chi[to]	beta[fr]	lambda
0	6	0.108	0.275	1.000
0	8	1.000	0.725	1.000
1	1	0.467	0.526	1.000
1	2	0.241	0.247	1.000
1	7	0.155	0.227	1.000
2	2	0.087	0.102	1.000
2	5	1.000	0.331	1.000
2	7	0.167	0.566	1.000
3	6	0.892	1.000	1.000
4	2	0.341	0.026	1.000
4	7	0.067	0.974	1.000
5	2	0.038	0.628	1.000
5	7	0.123	0.372	1.000
6	1	0.533	0.342	1.000
6	2	0.293	0.474	1.000
6	7	0.159	0.184	1.000
7	7	0.022	1.000	1.000
8	7	0.183	1.000	1.000
9	7	0.124	1.000	1.000
