#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.792	1.089	0.188	0.609	0.000	0.871
1	0.313	0.518	1.467	0.265	0.634	1.000	0.000
2	0.536	0.557	1.102	0.186	0.570	1.000	0.562
3	1.000	1.146	1.399	0.278	0.915	0.000	0.899
4	1.000	0.742	1.349	0.378	0.518	0.000	0.864
5	1.000	1.366	1.297	0.866	0.984	0.000	0.930
6	0.393	0.570	1.242	0.827	0.514	1.000	0.649
7	1.000	1.028	1.057	0.875	0.893	0.000	0.673
8	1.000	1.165	1.195	0.246	0.975	0.000	0.649
9	0.319	0.961	1.099	0.637	0.508	1.000	0.754
#From	To	chi[to]	beta[fr]	lambda
0	6	0.072	1.000	1.000
1	1	0.335	1.000	1.000
2	2	0.356	0.374	1.000
2	9	0.456	0.626	1.000
3	2	0.386	0.357	1.000
3	9	0.375	0.643	1.000
4	6	0.928	1.000	1.000
5	1	0.192	1.000	1.000
6	1	0.076	1.000	1.000
7	1	0.046	1.000	1.000
8	2	0.258	0.240	1.000
8	9	0.169	0.760	1.000
9	1	0.352	1.000	1.000
