#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.066	1.081	1.492	0.613	0.919	1.000	0.602
1	0.078	1.218	1.258	0.961	0.727	1.000	0.000
2	0.055	1.266	1.224	0.326	0.937	1.000	0.000
3	0.167	0.646	1.053	0.329	0.840	1.000	0.632
4	0.259	0.590	1.103	0.925	0.632	1.000	0.640
5	0.121	0.810	1.054	0.888	0.661	1.000	0.693
6	1.000	1.357	1.429	0.763	0.709	0.000	0.535
7	1.000	1.167	1.193	0.279	0.753	0.000	0.701
8	0.259	1.042	1.183	0.087	0.892	1.000	0.506
9	0.154	1.341	1.120	0.492	0.878	1.000	0.000
10	1.000	1.496	1.187	0.981	0.673	0.000	0.664
11	0.288	1.040	1.129	0.172	0.711	1.000	0.806
12	0.298	1.289	1.454	0.620	0.592	1.000	0.843
13	0.167	1.150	1.128	0.556	0.587	1.000	0.916
14	0.086	0.504	1.251	0.648	0.541	1.000	0.637
15	1.000	0.760	1.302	0.118	0.783	0.000	0.809
16	1.000	1.213	1.213	0.581	0.672	0.000	0.773
17	0.167	0.556	1.250	0.410	0.744	1.000	0.564
18	0.288	0.576	1.316	0.086	0.977	1.000	0.780
19	0.393	0.789	1.098	0.962	0.647	1.000	0.553
#From	To	chi[to]	beta[fr]	lambda
0	1	0.104	1.000	1.000
1	1	0.294	1.000	1.000
3	1	0.023	1.000	1.000
4	0	0.107	0.116	1.000
4	1	0.183	0.389	1.000
4	2	0.340	0.082	1.000
4	5	0.378	0.414	1.000
5	0	0.162	0.307	1.000
5	1	0.100	0.632	1.000
5	2	0.360	0.015	1.000
5	5	0.052	0.046	1.000
6	11	0.824	0.402	1.000
6	18	0.514	0.056	1.000
6	19	1.000	0.542	1.000
7	3	0.127	0.236	1.000
7	12	0.181	0.214	1.000
7	13	0.051	0.150	1.000
7	17	0.554	0.400	1.000
8	3	0.368	0.126	1.000
8	12	0.132	0.324	1.000
8	13	0.569	0.224	1.000
8	17	0.178	0.326	1.000
10	11	0.015	0.759	1.000
10	18	0.439	0.241	1.000
11	4	0.288	0.551	1.000
11	8	0.416	0.063	1.000
11	12	0.108	0.386	1.000
12	3	0.504	0.251	1.000
12	12	0.307	0.311	1.000
12	13	0.380	0.242	1.000
12	17	0.268	0.196	1.000
13	1	0.085	1.000	1.000
14	0	0.333	0.174	1.000
14	1	0.211	0.224	1.000
14	2	0.301	0.194	1.000
14	5	0.370	0.408	1.000
15	4	0.400	0.766	1.000
15	8	0.052	0.147	1.000
15	12	0.217	0.087	1.000
16	4	0.313	0.621	1.000
16	8	0.532	0.348	1.000
16	12	0.056	0.032	1.000
17	0	0.045	0.263	1.000
17	5	0.195	0.149	1.000
17	14	0.567	0.588	1.000
18	0	0.353	0.132	1.000
18	5	0.005	0.343	1.000
18	14	0.433	0.526	1.000
19	9	1.000	0.319	1.000
19	11	0.161	0.467	1.000
19	18	0.047	0.214	1.000
