#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.244	1.380	0.826	0.590	0.000	0.762
1	0.393	0.587	1.240	0.631	0.595	1.000	0.966
2	0.195	1.072	1.265	0.893	0.935	1.000	0.895
3	1.000	0.505	1.126	0.051	0.674	0.000	0.805
4	1.000	1.343	1.136	0.488	0.691	0.000	0.986
5	0.077	0.976	1.103	0.790	0.586	1.000	0.919
6	0.393	1.407	1.006	0.028	0.733	1.000	0.960
7	0.184	0.592	1.471	0.836	0.744	1.000	0.000
8	0.393	0.827	1.295	0.790	0.721	1.000	0.814
9	1.000	1.061	1.424	0.105	0.820	0.000	0.664
#From	To	chi[to]	beta[fr]	lambda
0	6	0.487	0.532	1.000
0	8	1.000	0.468	1.000
1	1	0.469	0.492	1.000
1	2	0.209	0.394	1.000
1	7	0.218	0.114	1.000
2	2	0.095	0.383	1.000
2	5	1.000	0.366	1.000
2	7	0.064	0.251	1.000
3	6	0.513	1.000	1.000
4	2	0.132	0.243	1.000
4	7	0.214	0.757	1.000
5	2	0.357	0.465	1.000
5	7	0.059	0.535	1.000
6	1	0.531	0.380	1.000
6	2	0.207	0.018	1.000
6	7	0.186	0.602	1.000
7	7	0.047	1.000	1.000
8	7	0.120	1.000	1.000
9	7	0.091	1.000	1.000
